date,open,high,low,close,volume
2023-01-02 09:15:00+05:30,18982.5,19016.1,18982.5,19015.9,0
2023-01-02 09:16:00+05:30,19020.0,19023.35,19000.35,19008.3,0
2023-01-02 09:17:00+05:30,19005.05,19016.9,18989.35,19016.8,0
2023-01-02 09:18:00+05:30,19014.75,19016.8,18993.15,19001.45,0
2023-01-02 09:19:00+05:30,19001.25,19005.35,18984.45,18984.85,0
2023-01-02 09:20:00+05:30,18989.95,18997.0,18961.65,18987.6,0
2023-01-02 09:21:00+05:30,18989.45,18992.95,18979.65,18986.7,0
2023-01-02 09:22:00+05:30,18985.75,18985.75,18972.4,18973.95,0
2023-01-02 09:23:00+05:30,18974.2,18977.15,18961.6,18976.8,0
2023-01-02 09:24:00+05:30,18977.45,19004.1,18972.6,18991.4,0
2023-01-02 09:25:00+05:30,18993.2,18993.2,18983.25,18988.95,0
2023-01-02 09:26:00+05:30,18989.25,18991.8,18962.9,18962.9,0
2023-01-02 09:27:00+05:30,18962.8,18963.7,18955.25,18961.5,0
2023-01-02 09:28:00+05:30,18962.55,18965.3,18947.5,18953.55,0
2023-01-02 09:29:00+05:30,18952.15,18959.1,18942.5,18954.9,0
2023-01-02 09:30:00+05:30,18955.85,18968.3,18946.35,18947.8,0
2023-01-02 09:31:00+05:30,18945.7,18955.35,18939.1,18954.55,0
2023-01-02 09:32:00+05:30,18953.1,18954.25,18945.0,18953.7,0
2023-01-02 09:33:00+05:30,18953.5,18994.9,18953.2,18989.2,0
2023-01-02 09:34:00+05:30,18989.05,19012.9,18978.75,19007.65,0
2023-01-02 09:35:00+05:30,19008.25,19008.9,18996.8,19008.7,0
2023-01-02 09:36:00+05:30,19009.3,19024.8,19006.2,19024.7,0
2023-01-02 09:37:00+05:30,19025.15,19028.05,19022.5,19024.95,0
2023-01-02 09:38:00+05:30,19026.55,19043.15,19023.6,19036.9,0
2023-01-02 09:39:00+05:30,19037.35,19052.15,19037.05,19052.15,0
2023-01-02 09:40:00+05:30,19051.35,19056.6,19032.7,19035.4,0
2023-01-02 09:41:00+05:30,19036.9,19047.65,19036.9,19044.65,0
2023-01-02 09:42:00+05:30,19043.6,19044.15,19041.0,19042.8,0
2023-01-02 09:43:00+05:30,19042.5,19045.65,19035.3,19043.05,0
2023-01-02 09:44:00+05:30,19043.25,19059.15,19042.65,19059.05,0
2023-01-02 09:45:00+05:30,19060.25,19062.4,19052.8,19053.45,0
2023-01-02 09:46:00+05:30,19050.75,19057.85,19046.4,19057.85,0
2023-01-02 09:47:00+05:30,19057.5,19079.75,19057.5,19079.75,0
2023-01-02 09:48:00+05:30,19075.85,19081.25,19067.9,19070.8,0
2023-01-02 09:49:00+05:30,19070.6,19071.8,19066.15,19070.1,0
2023-01-02 09:50:00+05:30,19070.75,19077.45,19068.95,19074.25,0
2023-01-02 09:51:00+05:30,19074.65,19074.7,19065.9,19069.05,0
2023-01-02 09:52:00+05:30,19069.3,19069.35,19061.65,19064.55,0
